commentCount,dislikeCount,etag,favoriteCount,id,likeCount,viewCount
134,16,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/C2O0BO4_MMhIroBIHvCvZaQ5aQU""",0,sS-hNYgDUak,1097,85524
245,42,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/SyOTOP1gDxobZ_NCfrkyIUZnupw""",0,hoimk4s8JoQ,2207,247595
202,26,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/HSCuPORrjPM7upadd3XKpvRD5EE""",0,Xzv3iiWi1Wo,1530,112095
118,56,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/BpJj-fWPiCbHd_NQ17JvQtnF34o""",0,WJJwrnFhUUg,1406,213502
291,28,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/b_JfUi758SD7ZeGb39yZOt2vb68""",0,HQC5sPN9Xhc,1909,157364
117,13,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/CdNDg593Bh1gArNi6d0KY3BBI18""",0,wDnLlywAL5I,1103,116394
228,55,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/WbNPMyRQBIa6v4Wp8W7gkWs1NhU""",0,AE1GKcL3NuI,2693,264264
285,57,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/qmHmunGPpc6FBQgfz9jJuVXU31s""",0,ReENCTH7MYI,2783,204641
192,24,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/mCKKu400OcbOS9A-zd6hPLlJ1ZE""",0,JMPwj3u4ZTA,1229,82151
124,22,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/K0cekFLOV2OwC_0ENmQBNuJHr5w""",0,j8Jf7QVKLgQ,945,115672
221,21,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/l2BUwFdLdH4XAEwLMahQd4cL5Fc""",0,IPPU49PyfEA,1044,126065
208,49,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/oh_F13b7t3Uoyeg3U99lE-5Q9Rk""",0,RulXVcpgpqw,2362,205676
231,23,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/WHkhkrs1v40OEBaSJVdCAU_HPhc""",0,hfvhXOvg43w,1582,118567
63,7,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ZjP3ymeEUbVfDge-EpiCGA2XjLE""",0,8Zge88tVwjE,782,62987
229,125,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/-VvOKB6DbvTvQbOd-e5rJ1wqbNY""",0,tayQX_ng-Nc,3601,358358
388,43,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/D4vpCoZNEK5URZ2QT4eiJg5z-wk""",0,l_jN9KN257M,2156,193084
105,15,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Jc3qnwXPvRt-xiZtDrYlAUgnFxo""",0,txAtX-VyVNc,913,63560
296,24,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/9YFPLW_bXLQTWHEHiPT-U6wbovw""",0,T2G5waMfQ-g,2104,133375
410,76,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/JmgaJC4COOgAo4CZUro88S1g5XI""",0,I4h6TC4CPJY,3174,333977
847,166,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Gabti5hp8oAItA2sM96tMfc6ccQ""",0,8QWvzEQ69Kw,5875,525748
254,42,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/gjsM_eJt9AO1hY6w1UUJKDfk9Io""",0,cC5ozePVKGI,1648,213686
909,128,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/hVNX4wEd4ccPL5a_crpEkAJurnk""",0,8P-YeoTmVrw,7254,591506
166,27,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/DHQyWNTpquDP3PZ9N9a4hrjuYyE""",0,EHD9u-lo2wc,1326,138350
233,27,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/h0A6jXKuC9lHDUhkuw2c-aPb8kg""",0,Io4fwhacpEs,1593,98762
